idTweet,hashtag,hashtagBrut,indiceStart,indiceEnd
6.78271E+17,socionoel,SocioNoel,18,28
6.78267E+17,socionoel,SocioNoel,0,10
6.78267E+17,gender,gender,103,110
6.78259E+17,socionoel,SocioNoel,89,99
6.78249E+17,socionoel,SocioNoel,0,10
6.78248E+17,socionoel,SocioNoel,0,10
6.7824E+17,socionoel,SocioNoel,28,38
6.78231E+17,socionoel,SocioNoel,51,61
6.7823E+17,socionoel,SocioNoel,0,10
6.78206E+17,socionoel,SocioNoel,0,10
6.78206E+17,day19,Day19,11,17
6.78186E+17,socionoel,Socionoel,0,10
6.7818E+17,socionoel,SocioNoel,0,10
6.7817E+17,socionoel,SocioNoel,99,109
6.78158E+17,socionoel,SocioNoel,31,41
6.78148E+17,socionoel,SocioNoel,15,25
6.78136E+17,socionoel,SocioNoel,34,44
6.78131E+17,socionoel,SocioNoel,0,10
6.78129E+17,socionoel,SocioNoel,0,10
6.78102E+17,socionoel,SocioNoel,0,10
6.78102E+17,sociologie,sociologie,52,63
