idTweet,idUser,replyIdTweet,replyIdUser,quotedIdTweet,quotedIdUser,text,createdAt,url,source,lang,nbRetweet,nbFavorites
6.74588E+17,262671176,6.74587E+17,262671176,,,#SocioNoel Corcuff a publié une version ultra-condensée en tout petit format : https://t.co/YRxLa1VB74,09/12/2015,https://twitter.com/sociosauvage/status/674587641552179200,Twitter Web Client,fr,2,0
6.74577E+17,4267764334,,,,,"Dans un style ""guère épais""",,,,,,
6.71742E+17,2580295430,,,,,Gouverner la ville: ves voies urbaines de la démocratie moderne de Thierry Oblet. #SocioNoel @ThierryOblet,01/12/2015,https://twitter.com/Angiviller/status/671741699635458049,Twitter for Android,fr,0,2
6.71954E+17,217210001,,,,,"#SocioNoel Jour 2. Loïc Wacquant ""A l'atrophie délibérée de l'Etat social correspond l'hypertrophie de l'Etat pénal"" https://t.co/5IPWkZASCn",02/12/2015,https://twitter.com/Lil_RoXaNe/status/671954466254532608,Twitter for Android,fr,12,9
6.71954E+17,529434391,,,,,Allez zou,,,,,,
6.71935E+17,2810964800,,,,,2 décembre : Michel Forsé,,,,,,
6.71829E+17,2919350415,,,,,1 #SocioNoël : Idéologie raciste de C. Guillaumin il fracasse les struc soc du sexisme,,,,,,
6.71825E+17,18565111,,,,,Ce 1er jour de #SocioNoel a donné 60 titres différents,,,,,,
6.71821E+17,2400419012,,,,,Allez,,,,,,
6.71811E+17,29412055,,,,,La Sainte ignorance -Olivier Roy : s'il ne faut lire qu'un livre sur l'intégrisme,,,,,,
6.7181E+17,29412055,,,,,Ooooh le super hashtag de Noël ! À suivre :)) #socionoel https://t.co/NmNTkoHh0H,01/12/2015,https://twitter.com/elsaaa_f/status/671809528640503811,Twitter for iPhone,fr,1,1
6.71796E+17,2757949460,,,,,#SocioNoel Un ouvrage riche à la fois étude sociologique et psychologique de l'expressionnisme allemand. https://t.co/l6nXTe0QOU,01/12/2015,https://twitter.com/ValentinGrmd/status/671795520051027970,TweetDeck,fr,2,1
6.71784E+17,2825385712,,,,,La Production des Grands Hommes de Maurice Godelier #SocioNoel même si en fait c'est #AnthropoNoel,01/12/2015,https://twitter.com/joliraton/status/671784170708975617,Twitter Web Client,fr,2,3
6.71783E+17,1485437142,,,,,Bon allez j'essaie. Après une journée de cours donc plutôt light : Riche,,,,,,
6.71774E+17,299883408,,,,,Allez,,,,,,
6.71766E+17,38652138,,,,,#SocioNoel et donc je propose Carbon Democracy,,,,,,
6.71766E+17,38652138,,,,,Puisque c'est #socionoel,,,,,,
6.71766E+17,10724352,,,,,#SocioNoel «pourquoi les pauvres votent à droite» de Thomas Frank,01/12/2015,https://twitter.com/leblognoteur/status/671765810986287108,Twitter for iPhone,fr,2,2
6.71755E+17,27259735,,,,,Cette opération #SocioNoel est une chic idée... Pour le 1er décembre : G. Sapiro,,,,,,
6.71748E+17,469394996,,,,,. @Uneheuredepeine pour le #socionoël vraie proposition (Anthropologie / Cosmologie) sur notamment les cosmogonies https://t.co/mnF0eHeeFe,01/12/2015,https://twitter.com/x_AcidRain/status/671748321007042561,Twitter Web Client,fr,1,5
6.71746E+17,375085665,,,,,Un classique (en italien) pour commencer #SocioNoel #dauphins #tumetonnequePBnapaseusuccesenItalie #reception https://t.co/iSwZd7h6mk,01/12/2015,https://twitter.com/ruggeroparis/status/671746473890095105,Twitter Web Client,fr,2,1
6.71746E+17,38444233,,,,,#socionoel https://t.co/eiCP47Xpj3,01/12/2015,https://twitter.com/sabrinagracy/status/671746348018864128,Twitter for iPhone,und,1,3
6.71746E+17,129761682,,,,,#socionoel sur un internat (nv collège/lycée) pour très riches aux US,,,,,,
6.71745E+17,563629852,,,,,Bon,,,,,,
6.71744E+17,1010835510,,,,,"#SocioNoel pour déplacer le point de vue: Annick Madec ""Chronique familiale en quartier impopulaire"" https://t.co/R6hAKj6uFP",01/12/2015,https://twitter.com/mel_picard/status/671743664268386305,Twitter Web Client,fr,3,2
6.71743E+17,2733676025,,,,,"#SocioNoel ""Military Orientalism"" de Porter à lire absolument en ces temps de guerre contre le terrorisme",01/12/2015,https://twitter.com/TheNewNoussa/status/671742644662493184,Twitter for Windows Phone,fr,1,1
6.71742E+17,1691856535,,,,,#SocioNoel Le mythe de la popularité de Reagan,,,,,,
6.71742E+17,1418752885,,,,,"#SocioNoel Le premier article de Sc Po qui m'a marqué: O.Ihl ""Vote et forclusion de la violence en France"" avec qui j'ai découvert les SHS !",01/12/2015,https://twitter.com/Temuchyn/status/671742071112380416,Twitter Web Client,fr,2,0
6.71742E+17,1475614334,,,6.71397E+17,898433816,Que mets-tu,,,,,,
6.71742E+17,30202175,,,,,#SocioNoel Sans ce livre d'introduction,,,,,,
6.71742E+17,140397983,,,,,Condition de l'Homme Global d'Arjun Appadurai #SocioNoel,01/12/2015,https://twitter.com/Bad_Sociologist/status/671741509906092033,Twitter Web Client,fr,1,2
6.71741E+17,468761902,,,,,Je déteste le #SocioNoel parce que ça me donne envie de lire plein de trucs mais j'ai pas le temps :(,01/12/2015,https://twitter.com/Nathanarchiste/status/671741021781401600,Twitter Web Client,fr,1,0
6.71741E+17,468761902,6.71741E+17,468761902,,,1er #SocioNoel : Le Don de Marcel Mauss parce que les conclusions ont blow my mind et que c'est le premier ouvrage que j'ai étudié en entier,01/12/2015,https://twitter.com/Nathanarchiste/status/671741263482363904,Twitter Web Client,fr,4,6
6.71741E+17,140397983,,,,,Provincialiser l'Europe : La pensée postcoloniale et la différence historique de Dipesh Chakrabarty #SocioNoel,01/12/2015,https://twitter.com/Bad_Sociologist/status/671740918358241280,Twitter Web Client,fr,2,3
6.71741E+17,140397983,,,,,The global City de @SaskiaSassen #SocioNoel,01/12/2015,https://twitter.com/Bad_Sociologist/status/671740689466728452,Twitter Web Client,en,3,1
6.71741E+17,298040213,,,,,#SocioNoel excellente initiative! Mon livre choix pour le J1 : Boltanski/ Thévenot et le concept des cités https://t.co/DImRPREyUV,01/12/2015,https://twitter.com/F_Bally/status/671740566409977856,Twitter Web Client,fr,2,5
6.71741E+17,140397983,,,,,Désoccidentaliser la sociologie - L'Europe au miroir de la Chine de Laurence Roulleau Berger #SocioNoel,01/12/2015,https://twitter.com/Bad_Sociologist/status/671740546461904896,Twitter Web Client,fr,3,7
6.71739E+17,18565111,,,,,Compilation #SocioNoel : https://t.co/4seSZN8hUE (il en manque encore quelques uns) /cc @CobbleAndFrame,01/12/2015,https://twitter.com/bfontn/status/671738712460500992,Twitter Web Client,fr,4,4
6.71738E+17,1431049680,,,,,On the Shoulders of Giants (1965),,,,,,
6.71733E+17,1047636402,,,,,Bon,,,,,,
6.74331E+17,3305408523,,,,,Demain,,,,,,
6.74322E+17,743485476,,,,,"#SocioNoel ""Les féministes et le garçon arabe"" Pour comprendre le fémonationalisme et la racialisation du sexisme https://t.co/FESOWAsOGV",08/12/2015,https://twitter.com/pa_prika_m/status/674322170777108481,Twitter Web Client,fr,3,6
6.74316E+17,1485437142,,,,,#SocioNoel 7 Bourdieu,,,,,,
6.74153E+17,110425971,,,,,#SocioNoël &lt; Explorer la ville. Éléments d’anthropologie urbaine avec Ulf Hannerz,,,,,,
6.74149E+17,479549227,,,,,Chose promise,,,,,,
6.74147E+17,1431049680,,,,,"Une enquête étourdissante : ""La dispersion. Une histoire des usages du mot diaspora""",,,,,,
6.74145E+17,217210001,,,,,#SocioNoel J7 : La frénésie sécuritaire. Ouvrage collectif dirigé par Mucchielli. https://t.co/zBdmvMuLI1,08/12/2015,https://twitter.com/Lil_RoXaNe/status/674145306573987840,Twitter for Android,fr,12,11
6.74142E+17,478599072,,,,,"#SocioNoel Une des vraies clés pour comprendre la mort actuelle de la gauche: ""Le communisme désarmé"" de J. Mischi: https://t.co/nJWxwHUDPZ",08/12/2015,https://twitter.com/mquijoux/status/674142053526323200,Twitter Web Client,fr,2,2
6.74135E+17,414053698,,,,,Quelques éléments dans ce classique pour comprendre les 64% d'abstentions chez les 18-25 ans...#SocioNoel https://t.co/riCDUwFKmR,08/12/2015,https://twitter.com/Matthieu_HELY/status/674134820402896896,Twitter Web Client,fr,3,3
6.73444E+17,285489417,,,,,On croit voyager. Réflexions sur la quête frénétique d'exotisme,,,,,,
6.73179E+17,117345550,,,,,"#SocioNoel J5 Bcp ont cité ""Pays de Malheur!"". Je préfère qd m le 1er tome",,,,,,
6.73177E+17,19659368,,,,,#SocioNoel  J5: V. Pinto,,,,,,
6.71703E+17,848950321,,,,,"[A paraître - janvier 2016] ""Pour la sociologie"" de Bernard Lahire https://t.co/EApiAXCQPL https://t.co/tRLria4sVB",01/12/2015,https://twitter.com/Ed_LaDecouverte/status/671702535569321984,TweetDeck,fr,33,30
6.73139E+17,2382451832,,,6.71703E+17,848950321,"Bonjour @manuelvalls. Un peu de lecture? Pour en finir avec une prétendue ""culture de l'excuse"" #SocioNoel  https://t.co/erXpd1CLFD",05/12/2015,https://twitter.com/PDufour651/status/673139172404813824,Twitter Web Client,fr,13,11
6.73162E+17,18565111,6.73139E+17,2382451832,,,@PDufour651 Tu considère ça comme ton #SocioNoel du jour ? (c’est pour la liste),05/12/2015,https://twitter.com/bfontn/status/673162171652657152,Twitter Web Client,fr,0,0
6.73157E+17,1920860480,,,,,#SocioNoel !!!  Bon,,,,,,
6.73133E+17,743485476,,,,,#SocioNoel Un des derniers livres que j'ai lu pour mon boulot,,,,,,
6.73126E+17,3305408523,,,,,#SocioNoel,,,,,,
6.73125E+17,217210001,,,,,#SocioNoel J4 : Des hommes sur le fil,,,,,,
6.73119E+17,86711856,,,,,"#SocioNoel La construction sociale du corps - C. Detrez. Souvenir marquant de licence: ""la socio",,,,,,
6.73109E+17,502257272,,,,,#SocioNoel,,,,,,
6.73104E+17,1522114842,6.73104E+17,1522114842,,,"-expressionniste Der Sturm en 1913 (en ""surbrillance"") : https://t.co/6xShD0H1eg  #SocioNoel",05/12/2015,https://twitter.com/MissaAndriana/status/673104416841580545,Twitter Web Client,fr,1,3
6.73104E+17,1522114842,6.73104E+17,1522114842,,,"#SocioNoel Donc le texte est ""Les Origines de la peinture contemporaine et sa valeur représentative"" de Fernand Léger parut ds le magazine-",05/12/2015,https://twitter.com/MissaAndriana/status/673104319789576193,Twitter Web Client,fr,1,3
6.73078E+17,112405794,,,,,#SocioNoel Pour comprendre combien les différences culturelles s'immiscent dans les comportements organisationnels https://t.co/LyHPVxtQ20,05/12/2015,https://twitter.com/bbarbusse/status/673077771921432576,Twitter for iPhone,fr,2,2
6.73075E+17,2919350415,,,,,#Socionoel 5 Nacéra GUENIF-SOUILAMAS pour TOUTE son œuvre (ps finie) son engagement &amp; son puissant concept #antisexismepatriarcal,05/12/2015,https://twitter.com/coucoubeubeu/status/673074678290907136,Mobile Web (M2),fr,1,1
6.73073E+17,562217581,,,,,#SocioNoel J5 : les forges de la fiction,,,,,,
6.73071E+17,38652138,,,,,#SocioNoel La production des grands hommes,,,,,,
6.73068E+17,2400419012,,,,,J5. Un entretien,,,,,,
6.73068E+17,299883408,,,,,Pour le jour 5 de #SocioNoel je vais mettre ce livre sur les auditeurs de radio et leur rapport aux animateurs. https://t.co/wciifHhY9w,05/12/2015,https://twitter.com/Ostpolitik/status/673068257260212224,Twitter Web Client,fr,2,2
6.73067E+17,326063623,,,,,Les ficelles du métier de H.Becker,,,,,,
6.73066E+17,74465339,,,,,#SocioNoel J5 “Interventions 1961-2001.” J’ai redécouvert Pierre Bourdieu et découvert sa pensée en action. Sociologie,,,,,,
6.73065E+17,1431049680,,,,,J.-C. Passeron,,,,,,
6.73062E+17,802025095,,,,,#Socionoel j5,,,,,,
6.73048E+17,18565111,,,,,#SocioNoel du samedi avec “Le Suicide”,,,,,,
6.73047E+17,563629852,,,,,#SocioNoel Lecture de train. https://t.co/Eemo2xhZhB,05/12/2015,https://twitter.com/balleverte/status/673046836589019136,Twitter for Android,fr,3,8
6.73024E+17,2246825216,,,,,Souvenir d'avant l'interdiction officielle de tous les titres pastiches de Michel Foucault #SocioNoel https://t.co/tJ87d0R3Fw,05/12/2015,https://twitter.com/Politriste/status/673024386694299648,Twitter Web Client,fr,5,4
6.72904E+17,500131988,,,,,Du coup,,,,,,
6.73891E+17,502257272,,,,,#SocioNoel,,,,,,
6.73868E+17,479549227,,262671176,,,@sociosauvage C'est pas mal dans l'ensemble mais il y a vraiment quelques passages très agaçants dans l'entretien !,07/12/2015,https://twitter.com/Comtesse_Leia/status/673868270588530688,Twitter Web Client,fr,0,0
6.7387E+17,262671176,6.73868E+17,479549227,,,@Comtesse_Leia Je sais pas à quoi tu réponds. L'itw croisée Lahire/Orléan ?,07/12/2015,https://twitter.com/sociosauvage/status/673870140287655936,Twitter Web Client,fr,0,0
6.73871E+17,479549227,6.7387E+17,262671176,,,@sociosauvage Oui voilà,07/12/2015,https://twitter.com/Comtesse_Leia/status/673870534795534336,Twitter Web Client,fr,0,0
6.73872E+17,479549227,6.73871E+17,479549227,,,@sociosauvage Il y a une erreur historique d'Orléan dedans qui est pas très grave mais il y a deux passages qui me semblent un peu en deçà,07/12/2015,https://twitter.com/Comtesse_Leia/status/673872223132901376,Twitter Web Client,fr,0,0
6.73872E+17,479549227,6.73872E+17,479549227,,,@sociosauvage de ce qui devrait ou pourrait être dit à partir du reste de ce qui est avancé,07/12/2015,https://twitter.com/Comtesse_Leia/status/673872303667740673,Twitter Web Client,fr,0,0
6.75256E+17,898433816,6.74917E+17,898433816,,,#SocioNoël,,,,,,
6.75719E+17,898433816,6.75256E+17,898433816,,,#SocioNoël,,,,,,
6.76019E+17,898433816,6.75719E+17,898433816,,,"#SocioNoël du dimanche 13/12 : Le blog ""Émile",,,,,,
6.76316E+17,898433816,6.76019E+17,898433816,,,#SocioNoël,,,,,,
6.76724E+17,898433816,6.76316E+17,898433816,,,#SocioNoël,,,,,,
6.77109E+17,898433816,6.76724E+17,898433816,,,#SocioNoël,,,,,,
6.7744E+17,898433816,6.77109E+17,898433816,,,#SocioNoël,,,,,,
6.77981E+17,898433816,6.7744E+17,898433816,,,En retard,,,,,,
6.78279E+17,898433816,6.77981E+17,898433816,,,#SocioNoël,,,,,,
6.78536E+17,898433816,6.78279E+17,898433816,,,#SocioNoël,,,,,,
6.78844E+17,898433816,6.78536E+17,898433816,,,#SocioNoël,,,,,,
6.7935E+17,898433816,6.78844E+17,898433816,,,#SocioNoël,,,,,,
6.79351E+17,898433816,6.7935E+17,898433816,,,#SocioNoël,,,,,,
6.79592E+17,898433816,6.79351E+17,898433816,,,#SocioNoël,,,,,,
6.79976E+17,898433816,6.79592E+17,898433816,,,#SocioNoël,,,,,,
6.79977E+17,898433816,6.79976E+17,898433816,,,Je voudrais me fendre d'une petite postface à cette liste de #SocioNoël pour qu'elle soit entière avec un texte qui me fait pas sourire.,24/12/2015,https://twitter.com/CobbleAndFrame/status/679976842972000256,Twitter Web Client,fr,0,1
6.79977E+17,898433816,6.79977E+17,898433816,,,#SocioNoël,,,,,,
6.79976E+17,802025095,,,,,Last #SocioNoel,,,,,,
